,mean,sd,hpd_3%,hpd_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
"C[0,0]",0.012,0.002,0.007,0.016,0.0,0.0,26347.0,25984.0,25520.0,9635.0,1.0
"C[1,0]",0.025,0.004,0.018,0.032,0.0,0.0,28447.0,25745.0,28944.0,11540.0,1.0
"C[2,0]",0.025,0.004,0.018,0.032,0.0,0.0,31851.0,30249.0,31652.0,11432.0,1.0
"C[3,0]",0.047,0.007,0.034,0.06,0.0,0.0,25073.0,22706.0,26133.0,11555.0,1.0
"C[4,0]",0.02,0.003,0.014,0.026,0.0,0.0,33110.0,31369.0,32229.0,9943.0,1.0
"C[5,0]",0.059,0.009,0.043,0.077,0.0,0.0,27068.0,23788.0,28313.0,10905.0,1.0
"C[6,0]",0.059,0.009,0.042,0.077,0.0,0.0,29932.0,26537.0,31237.0,11226.0,1.0
"C[7,0]",0.04,0.006,0.029,0.051,0.0,0.0,32778.0,29698.0,33245.0,10989.0,1.0
"C[8,0]",0.131,0.032,0.077,0.194,0.0,0.0,12113.0,9352.0,15445.0,7582.0,1.0
"C[9,0]",0.06,0.009,0.043,0.077,0.0,0.0,25782.0,22965.0,27125.0,10898.0,1.0
"C[10,0]",0.052,0.008,0.038,0.067,0.0,0.0,30874.0,27505.0,32133.0,11850.0,1.0
"C[11,0]",0.091,0.017,0.06,0.125,0.0,0.0,22522.0,18662.0,25896.0,10339.0,1.0
"C[12,0]",0.1,0.02,0.062,0.137,0.0,0.0,23191.0,18698.0,27190.0,10205.0,1.0
"C[13,0]",0.075,0.013,0.052,0.098,0.0,0.0,27451.0,22867.0,30559.0,10953.0,1.0
"C[14,0]",0.1,0.02,0.065,0.138,0.0,0.0,21562.0,17213.0,26357.0,9720.0,1.0
"C[15,0]",0.093,0.018,0.062,0.126,0.0,0.0,22244.0,17834.0,26684.0,10560.0,1.0
"C[16,0]",0.049,0.007,0.036,0.063,0.0,0.0,28890.0,25474.0,30429.0,11109.0,1.0
"wp[0,0]",0.522,0.034,0.459,0.583,0.0,0.0,32704.0,32440.0,32680.0,10902.0,1.0
"wp[1,0]",0.6,0.035,0.534,0.667,0.0,0.0,30327.0,30318.0,30365.0,12343.0,1.0
"wp[2,0]",0.455,0.035,0.392,0.524,0.0,0.0,33584.0,32986.0,33575.0,10554.0,1.0
"wp[3,0]",0.577,0.041,0.499,0.652,0.0,0.0,26900.0,26256.0,26842.0,11972.0,1.0
"wp[4,0]",0.487,0.035,0.422,0.552,0.0,0.0,29479.0,28960.0,29494.0,10974.0,1.0
"wp[5,0]",0.449,0.044,0.366,0.532,0.0,0.0,31159.0,30942.0,31164.0,11155.0,1.0
"wp[6,0]",0.516,0.045,0.429,0.598,0.0,0.0,29105.0,28700.0,29122.0,10912.0,1.0
"wp[7,0]",0.484,0.038,0.413,0.557,0.0,0.0,31881.0,31362.0,31890.0,10858.0,1.0
"wp[8,0]",0.507,0.063,0.393,0.627,0.0,0.0,24351.0,22540.0,24633.0,10739.0,1.0
"wp[9,0]",0.514,0.045,0.431,0.602,0.0,0.0,34053.0,33798.0,34093.0,11096.0,1.0
"wp[10,0]",0.508,0.042,0.428,0.588,0.0,0.0,33172.0,32205.0,33039.0,10528.0,1.0
